frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.44,0.00,0.57,0.00,0.00,0.00,0.00,0.35,0.03,0.71,0.17,1.18,0.04,0.00,1.54,2.21,0.33,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00
2,0,0.200,0.98,1,0.36,0.00,0.46,0.00,0.00,0.00,0.00,0.30,0.17,0.37,0.06,1.13,0.05,0.00,1.10,1.67,0.13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
3,0,0.400,0.98,1,0.28,0.00,0.30,0.00,0.00,0.00,0.00,0.29,0.25,0.30,0.00,1.03,0.03,0.00,0.94,1.50,0.02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
4,0,0.600,0.98,1,0.19,0.00,0.19,0.00,0.00,0.00,0.00,0.36,0.32,0.31,0.00,1.09,0.10,0.00,1.06,1.72,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
5,0,0.800,0.98,1,0.12,0.00,0.13,0.00,0.00,0.00,0.00,0.41,0.30,0.28,0.03,1.15,0.08,0.08,1.09,1.89,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
6,0,1.000,0.98,1,0.17,0.11,0.37,0.00,0.00,0.00,0.00,0.45,0.30,0.25,0.09,1.28,0.08,0.08,1.05,1.88,0.20,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
7,0,1.200,0.98,1,0.25,0.11,0.55,0.00,0.00,0.00,0.00,0.48,0.25,0.24,0.13,1.32,0.02,0.08,0.94,1.88,0.29,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
8,0,1.400,0.98,1,0.20,0.11,0.74,0.00,0.00,0.00,0.00,0.40,0.25,0.37,0.26,1.25,0.11,0.00,0.92,1.72,0.29,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
9,0,1.600,0.98,1,0.17,0.00,0.55,0.00,0.00,0.00,0.00,0.30,0.27,0.32,0.19,1.22,0.26,0.02,0.93,1.64,0.09,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
10,0,1.800,0.98,1,0.09,0.00,0.36,0.00,0.00,0.00,0.00,0.21,0.30,0.34,0.16,1.10,0.32,0.04,0.85,1.49,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
11,0,2.000,0.98,1,0.09,0.00,0.30,0.00,0.00,0.00,0.00,0.28,0.34,0.32,0.10,1.10,0.34,0.04,0.82,1.39,0.12,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
12,0,2.200,0.98,1,0.04,0.00,0.35,0.00,0.00,0.00,0.00,0.41,0.32,0.33,0.15,1.23,0.18,0.02,0.68,1.37,0.16,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
13,0,2.400,0.98,1,0.14,0.02,0.39,0.00,0.00,0.00,0.00,0.48,0.33,0.31,0.15,1.44,0.12,0.00,0.71,1.12,0.16,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0,2.600,0.98,1,0.14,0.02,0.36,0.00,0.02,0.00,0.00,0.52,0.31,0.42,0.04,1.55,0.00,0.00,0.52,1.03,0.04,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0,2.800,0.98,1,0.12,0.02,0.28,0.00,0.04,0.00,0.00,0.58,0.38,0.56,0.00,1.64,0.00,0.01,0.49,0.98,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0,3.000,0.98,1,0.05,0.00,0.45,0.00,0.04,0.00,0.00,0.67,0.47,0.70,0.01,1.75,0.00,0.01,0.33,1.15,0.69,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
17,0,3.200,0.98,1,0.08,0.00,0.54,0.00,0.02,0.00,0.00,0.73,0.54,0.74,0.11,1.78,0.00,0.01,0.37,1.21,0.97,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0,3.400,0.98,1,0.09,0.00,0.71,0.00,0.00,0.00,0.00,0.73,0.57,0.70,0.15,1.74,0.00,0.00,0.39,1.15,1.18,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
